subsample	bootstrap	mrca	same_city	different_city	same_country	different_country_same_continent	different_country	neighbors	not_neighbors	close_countries	distant_countries	different_continent
subsample_0030	1	(6,40]	34	293	327	448	448	423	25	448	0	0
subsample_0031	1	[0,2]	82	15	97	7	7	7	0	7	0	0
subsample_0031	1	(2,6]	24	132	156	0	0	0	0	0	0	0
subsample_0031	1	(6,40]	43	313	356	333	333	311	22	333	0	0
subsample_0032	1	[0,2]	131	7	138	4	4	4	0	4	0	0
subsample_0032	1	(2,6]	54	273	327	4	4	4	0	4	0	0
subsample_0032	1	(6,40]	48	231	279	322	322	299	23	322	0	0
subsample_0033	1	[0,2]	69	25	94	6	6	6	0	6	0	0
subsample_0033	1	(2,6]	56	117	173	6	6	6	0	6	0	0
subsample_0033	1	(6,40]	53	415	468	448	448	400	48	448	0	0
subsample_0034	1	[0,2]	84	2	86	6	6	6	0	6	0	0
subsample_0034	1	(2,6]	64	79	143	9	9	9	0	9	0	0
subsample_0034	1	(6,40]	40	308	348	352	352	337	15	352	0	0
subsample_0035	1	[0,2]	83	2	85	2	2	2	0	2	0	0
subsample_0035	1	(2,6]	40	28	68	2	2	2	0	2	0	0
subsample_0035	1	(6,40]	60	417	477	316	316	300	16	316	0	0
subsample_0036	1	[0,2]	103	17	120	0	0	0	0	0	0	0
subsample_0036	1	(2,6]	61	142	203	5	5	5	0	5	0	0
subsample_0036	1	(6,40]	57	288	345	278	278	268	10	278	0	0
subsample_0037	1	[0,2]	103	15	118	0	0	0	0	0	0	0
subsample_0037	1	(2,6]	20	22	42	3	3	3	0	3	0	0
subsample_0037	1	(6,40]	90	360	450	181	181	168	13	181	0	0
subsample_0038	1	[0,2]	99	23	122	6	6	6	0	6	0	0
subsample_0038	1	(2,6]	84	274	358	15	15	15	0	15	0	0
subsample_0038	1	(6,40]	62	338	400	379	379	348	31	379	0	0
subsample_0039	1	[0,2]	120	19	139	3	3	3	0	3	0	0
subsample_0039	1	(2,6]	57	199	256	12	12	12	0	12	0	0
subsample_0039	1	(6,40]	48	315	363	391	391	383	8	391	0	0
subsample_0040	1	[0,2]	127	20	147	4	4	4	0	4	0	0
subsample_0040	1	(2,6]	87	143	230	4	4	4	0	4	0	0
subsample_0040	1	(6,40]	49	379	428	414	414	401	13	414	0	0
subsample_0041	1	[0,2]	133	3	136	4	4	4	0	4	0	0
subsample_0041	1	(2,6]	41	171	212	5	5	5	0	5	0	0
subsample_0041	1	(6,40]	56	404	460	345	345	317	28	345	0	0
subsample_0042	1	[0,2]	91	11	102	7	7	7	0	7	0	0
subsample_0042	1	(2,6]	57	121	178	6	6	6	0	6	0	0
subsample_0042	1	(6,40]	60	352	412	380	380	362	18	380	0	0
subsample_0043	1	[0,2]	68	22	90	4	4	4	0	4	0	0
subsample_0043	1	(2,6]	59	111	170	8	8	8	0	8	0	0
subsample_0043	1	(6,40]	80	419	499	429	429	412	17	429	0	0
subsample_0044	1	[0,2]	137	12	149	2	2	2	0	2	0	0
subsample_0044	1	(2,6]	68	187	255	8	8	8	0	8	0	0
