Assembly	Strain	MLST	KL	serotype	complete_phage_sensitivity	Highwayman	Silvergun	Fanak	PhT2-v2	Dino	Fishpie	Margaret	Rocket	KissB	Navy4-v2	Tama	Porter	ABW132	ABW311	Konradin-v2
GCF_022467975.1	AB220-VUB NA	ST2	KL9	ST2 KL9	TRUE	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GCF_022467805.1	AB224-VUB NA	ST2	KL9	ST2 KL9	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	YES	NO	NO	NO
GCF_022467735.1	AB226-VUB NA	ST604	KL2	ST604 KL2	TRUE	NO	YES	NO	NO	NO	YES	YES	YES	NO	NO	NO	NO	NO	NO	NO
GCF_022460015.1	AB36-VUB NA	ST2	KL2	ST2 KL2	TRUE	NO	YES	NO	NO	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO	NO
GCF_022459295.1	AB171-VUB NA	ST2	KL13	ST2 KL13	TRUE	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO
GCF_022459175.1	AB172-VUB NA	ST2	KL13	ST2 KL13	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GCF_022468795.1	AB189-VUB NA	ST2	KL22	ST2 KL22	TRUE	7.531479	9.968483	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GCF_022460295.1	AB21-VUB NA	ST78	KL13	ST78 KL13	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GCF_022467905.1	AB222-VUB NA	ST2	KL22	ST2 KL22	TRUE	NO	9.880814	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GCF_022459875.1	AB39-VUB NA	ST2	KL81	ST2 KL81	TRUE	NO	YES	NO	NO	NO	YES	YES	YES	NO	NO	NO	NO	NO	NO	NO
GCF_022466815.1	DSM30011-VUB NA	ST738	KL47	ST738 KL47	TRUE	NO	NO	NO	YES	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO
GCF_006492675.1	NR-52236 67	ST2	KL9	ST2 KL9	TRUE	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO
GCF_006494305.1	NR-52155 44	ST267	KL9	ST267 KL9	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GCF_006492885.1	NR-52177 10	ST963	KL9	ST963 KL9	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GCF_006493815.1	NR-52208 22	ST2	KL9	ST2 KL9	TRUE	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO
GCF_006492785.1	NR-52163 4	ST32	KL2	ST32 KL2	TRUE	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO
GCF_006492385.1	NR-52176 9	ST2	KL2	ST2 KL2	TRUE	NO	YES	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO
GCF_006491885.1	NR-52216 24	ST32	KL2	ST32 KL2	TRUE	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GCF_006492775.1	NR-52227 34	ST32	KL2	ST32 KL2	TRUE	NO	YES	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO
GCF_006492865.1	NR-52183 14	ST78	KL2	ST78 KL2	TRUE	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GCF_006492065.1	NR-52174 8	ST1	KL1	ST1 KL1	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GCF_006492195.1	NR-52168 48	ST1	KL1	ST1 KL1	TRUE	NO	NO	NO	NO	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO
GCF_006491855.1	NR-52220 61	ST20	KL1	ST20 KL1	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GCF_006492625.1	NR-52243 70	ST2	KL22	ST2 KL22	TRUE	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	YES
GCF_006493655.1	NR-52154 2	ST2	KL22	ST2 KL22	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GCF_006492575.1	NR-52169 5	ST81	KL12	ST81 KL12	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GCF_006493755.1	NR-52211 59	ST2	KL7	ST2 KL7	TRUE	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO
