Assembly	Strain	MLST	KL	serotype	complete_phage_sensitivity	Highwayman	Silvergun	Fanak	PhT2-v2	Dino	Fishpie	Margaret	Rocket	KissB	Navy4-v2	Tama	Porter	ABW132	ABW311	Konradin-v2
Aci154	Aci 154	ST2	KL3	ST2 KL3	TRUE	9.823909	10.12494	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci155	Aci 155	ST492	KL9	ST492 KL9	TRUE	NO	NO	1	NO	NO	NO	NO	NO	NO	NO	9.3	NO	NO	NO	1
Aci156	Aci 156	ST2	KL3	ST2 KL3	FALSE	YES	YES	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aci157	Aci 157	ST2	KL9	ST2 KL9	TRUE	NO	NO	1	NO	NO	NO	NO	NO	NO	NO	8.95	NO	NO	NO	1
Aci158	Aci 158	ST492	KL9	ST492 KL9	TRUE	NO	NO	1	NO	NO	NO	NO	NO	NO	NO	9.1	NO	NO	NO	1
Aci159	Aci 159	ST2	KL77	ST2 KL77	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	8.12	NO	NO	NO	NO	NO	NO
Aci160	Aci 160	ST492	KL9	ST492 KL9	TRUE	NO	NO	1	NO	NO	NO	NO	NO	NO	NO	YES	1	NO	NO	NO
Aci161	Aci 161	ST2	KL3	ST2 KL3	TRUE	9.980256	10.39794	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci162	Aci 162	ST2	KL3	ST2 KL3	FALSE	YES	YES	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aci163	Aci 163	ST2	KL3	ST2 KL3	TRUE	9.812913	10.92082	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci164	Aci 164	ST2	KL3	ST2 KL3	TRUE	9.897016	10.85532	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci166	Aci 166	ST1	KL1	ST1 KL1	TRUE	8.28	NO	1	9.46	NO	NO	NO	9.45	9.2	7.63	NO	NO	NO	NO	1
Aci169	Aci 169	ST492	KL104	ST492 KL104	TRUE	NO	NO	NO	8.61	NO	NO	NO	NO	NO	8.57	NO	NO	NO	NO	1
Aci170	Aci 170	ST160	KL1	ST160 KL1	TRUE	NO	NO	NO	NO	NO	NO	NO	10.08	9.56	NO	NO	NO	NO	NO	1
Aci173	Aci 173	ST492	KL104	ST492 KL104	TRUE	NO	NO	NO	9.19	NO	NO	NO	NO	NO	8.5	NO	NO	NO	NO	1
Aci175	Aci 175	ST492	KL104	ST492 KL104	TRUE	NO	NO	NO	9.19	NO	NO	NO	NO	NO	8.5	NO	NO	NO	NO	NO
Aci177	Aci 177	ST1	KL17	ST1 KL17	TRUE	NO	NO	NO	NO	NO	NO	NO	9.04	1	NO	NO	NO	NO	NO	NO
Aci178	Aci 178	ST1	KL1	ST1 KL1	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci180	Aci 180	ST2	KL2	ST2 KL2	FALSE	NA	10.06695	NA	NA	NA	NA	NA	YES	NA	NA	NA	NA	NA	NA	NA
Aci181	Aci 181	ST2	KL12	ST2 KL12	TRUE	NO	NO	7.69897	NO	NO	NO	NO	NO	NO	NO	NO	8.352183	NO	NO	1
Aci182	Aci 182	ST2	KL2	ST2 KL2	TRUE	NO	10.39794	NO	NO	1	9.30103	9.69897	9.041393	1	NO	NO	NO	NO	NO	NO
Aci183	Aci 183	ST2	KL12	ST2 KL12	TRUE	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	9.662758	NO	NO	NO
Aci184	Aci 184	ST636	KL40	ST636 KL40	TRUE	NO	NO	NO	NO	NO	NO	NO	7.884607	NO	NO	NO	NO	NO	NO	NO
Aci189	Aci 189	ST2	KL3	ST2 KL3	FALSE	6.123852	9.30103	NO	NO	NO	NO	NA	NA	NA	NO	NA	NO	NA	NA	NA
Aci191	Aci 191	ST636	KL40	ST636 KL40	TRUE	NO	NO	8.35891	9.518514	NO	NO	NO	8.548185	8.348929	7.778151	NO	8.563399	NO	NO	8.113943
Aci194	Aci 194	ST2	KL3	ST2 KL3	FALSE	6	8.477121	NO	NO	NO	NO	NA	YES	NA	NO	NA	NO	NA	NA	NA
Aci200	Aci 200	ST636	KL40	ST636 KL40	TRUE	NO	NO	NO	NO	NO	NO	NO	8.726999	NO	NO	NO	NO	NO	NO	NO
Aci202	Aci 202	ST2	KL3	ST2 KL3	FALSE	NA	YES	NO	NO	NO	NO	NA	YES	NA	NO	NA	NO	NA	NA	NA
Aci207	Aci 207	ST2	KL3	ST2 KL3	TRUE	1	NO	NO	YES	NO	NO	NO	NO	NO	YES	NO	YES	NO	NO	NO
Aci208	Aci 208	ST2	KL2	ST2 KL2	FALSE	NA	9.920819	NO	NO	YES	YES	NA	YES	NA	YES	NA	NO	NA	NA	NA
Aci216	Aci 216	ST79	KL3	ST79 KL3	TRUE	1	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci217	Aci 217	ST636	KL40	ST636 KL40	TRUE	NO	NO	NO	NO	NO	NO	NO	9.221849	NO	NO	NO	NO	NO	NO	NO
Aci222	Aci 222	ST636	KL40	ST636 KL40	TRUE	NO	NO	8.566323	10.14613	NO	NO	NO	8.753328	NO	7.217738	NO	NO	NO	NO	8.852997
Aci223	Aci 223	ST636	KL40	ST636 KL40	TRUE	NO	NO	8.15904	9.190332	NO	NO	NO	9.60206	8.794755	NO	NO	NO	NO	NO	8.601152
Aci224	Aci 224	ST492	KL104	ST492 KL104	TRUE	NO	NO	NO	9.113943	NO	NO	NO	NO	NO	8.819544	NO	NO	1	NO	NO
Aci228	Aci 228	ST2	KL3	ST2 KL3	FALSE	NA	YES	NO	NO	NO	NO	NA	NO	NA	NO	NA	NO	NA	NA	NA
Aci230	Aci 230	ST1	KL17	ST1 KL17	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci234	Aci 234	ST2	KL3	ST2 KL3	TRUE	Yes	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci235	Aci 235	ST2	KL3	ST2 KL3	TRUE	YES	YES	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO
Aci240	Aci 240	ST636	KL40	ST636 KL40	TRUE	NO	NO	NO	NO	NO	NO	NO	9.669007	9.954243	NO	NO	NO	NO	NO	NO
Aci243	Aci 243	ST492	KL104	ST492 KL104	TRUE	Yes	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci247	Aci 247	ST2	KL3	ST2 KL3	FALSE	NO	NO	NO	NO	NO	NO	NO	1	NO	NO	NO	NO	NA	NO	NO
Aci248	Aci 248	ST636	KL40	ST636 KL40	TRUE	NO	NO	NO	8	NO	NO	NO	NO	NO	10	NO	NO	NO	NO	NO
Aci252	Aci 252	ST2	KL2	ST2 KL2	FALSE	NA	10.60206	YES	NO	NO	YES	NA	NO	NA	NO	NA	YES	NA	NA	NA
Aci255	Aci 255	ST636	KL40	ST636 KL40	TRUE	NO	NO	NO	NO	NO	NO	NO	9.60206	NO	NO	NO	NO	NO	NO	NO
Aci256	Aci 256	ST2	KL2	ST2 KL2	TRUE	NO	10.22185	NO	NO	1	9.47	9.89	8.52	1	NO	NO	NO	NO	NO	NO
Aci260	Aci 260	ST2	KL12	ST2 KL12	TRUE	NO	NO	7.7	NO	NO	NO	NO	NO	NO	NO	NO	9.544068	NO	NO	1
Aci261	Aci 261	ST2	KL12	ST2 KL12	TRUE	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	9.585461	NO	NO	NO
Aci263	Aci 263	ST2	KL77	ST2 KL77	TRUE	NO	NO	NO	NO	NO	NO	NO	8.647049	7.82	NO	NO	NO	NO	NO	NO
Aci264	Aci 264	ST2	KL77	ST2 KL77	TRUE	NO	NO	NO	NO	NO	NO	NO	9.399993	7.89	NO	NO	NO	NO	NO	NO
Aci268	Aci 268	ST2	KL2	ST2 KL2	FALSE	NA	10.22185	NA	NA	NA	NA	NA	YES	NA	NA	NA	NA	NA	NA	NA
Aci271	Aci 271	ST2	KL2	ST2 KL2	FALSE	NA	10.727	NA	NA	NA	NA	NA	YES	NA	NA	NA	NA	NA	NA	NA
Aci272	Aci 272	ST2	KL77	ST2 KL77	TRUE	NO	NO	NO	NO	NO	NO	NO	8.16301	7.73	NO	NO	NO	NO	NO	NO
Aci273	Aci 273	ST636	KL40	ST636 KL40	TRUE	NO	NO	NO	NO	NO	NO	NO	9.522879	NO	NO	NO	NO	NO	NO	NO
Aci274	Aci 274	ST2	KL32	ST2 KL32	TRUE	NO	NO	NO	NO	NO	NO	NO	7.89	1	NO	NO	NO	NO	1	NO
Aci276	Aci 276	ST2	KL3	ST2 KL3	TRUE	9.84	10.75333	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci281	Aci 281	ST2	KL3	ST2 KL3	TRUE	YES	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci293	Aci 293	ST2	KL2	ST2 KL2	FALSE	NA	10.22185	NO	NO	YES	YES	NA	NO	NA	NO	NA	NO	NA	NA	NA
Aci294	Aci 294	ST2	KL32	ST2 KL32	FALSE	NA	NO	NO	NO	NO	NO	NA	NO	NA	NO	NA	NO	NA	NA	NA
Aci300	Aci 300	ST570	KL49	ST570 KL49	FALSE	NA	NO	NO	NO	NO	NO	NA	YES	NA	NO	NA	NO	NA	NA	NA
Aci303	Aci 303	ST2	KL3	ST2 KL3	TRUE	YES	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci304	Aci 304	ST2	KL3	ST2 KL3	TRUE	YES	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO
Aci305	Aci 305	ST2	KL12	ST2 KL12	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	9.638489	NO	NO	NO
Aci307	Aci 307	ST2	KL12	ST2 KL12	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	9.130334	NO	NO	NO
Aci309	Aci 309	ST2	KL12	ST2 KL12	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	9.491362	NO	NO	NO
Aci310	Aci 310	ST2	KL12	ST2 KL12	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	9.462398	NO	NO	NO
Aci311	Aci 311	ST2	KL32	ST2 KL32	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	9.60206	NO
Aci312	Aci 312	ST2	KL2	ST2 KL2	FALSE	NA	10.77815	NO	NO	YES	YES	NA	YES	NA	NO	NA	NO	NA	NA	NA
Aci315	Aci 315	ST2	KL32	ST2 KL32	FALSE	NA	NO	NO	NO	NO	NO	NA	NO	NA	NO	NA	NO	NA	NA	NA
Aci317	Aci 317	ST2	KL32	ST2 KL32	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	1	NO	NO	NO	NO	9.585461	NO
Aci318	Aci 318	ST2	KL3	ST2 KL3	TRUE	YES	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci320	Aci 320	ST78	KL2	ST78 KL2	TRUE	NO	7.124939	NO	NO	YES	YES	1	Yes	YES	NO	NO	NO	NO	NO	NO
Aci322	Aci 322	ST2	KL3	ST2 KL3	TRUE	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	YES
Aci323	Aci 323	ST2	KL32	ST2 KL32	FALSE	NA	NO	NO	NO	NO	NO	NA	NO	NA	NO	NA	NO	NA	NA	NA
Aci324	Aci 324	ST2	KL32	ST2 KL32	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	1	NO	NO	NO	NO	9.845098	NO
